"_id","question","answer","createdAt","updatedAt","__v"
"6253ccd87f3735562b68defa","I think people who are more hard-working should end up with more money."," Strongly Disagree","2022-04-11T06:38:16.448Z","2022-04-11T06:38:16.448Z",0
"6253ccd87f3735562b68defd","I feel good when I see cheaters get caught and punished.","Disagree","2022-04-11T06:38:16.455Z","2022-04-11T06:38:16.455Z",0
"6253ccd87f3735562b68deff","I think children should be taught to be loyal to their country."," Strongly Disagree","2022-04-11T06:38:16.457Z","2022-04-11T06:38:16.457Z",0
"6253ccd87f3735562b68df01","We all need to learn from our elders."," Strongly Disagree","2022-04-11T06:38:16.458Z","2022-04-11T06:38:16.458Z",0
"6253ccd87f3735562b68df03","I think obedience to parents is an important virtue.","Disagree","2022-04-11T06:38:16.460Z","2022-04-11T06:38:16.460Z",0
"6253ccd87f3735562b68df05","The world would be a better place if everyone made the same amount of money."," Strongly Disagree","2022-04-11T06:38:16.461Z","2022-04-11T06:38:16.461Z",0
"6253ccd87f3735562b68df07","It upsets me when people have no loyalty to their country."," Slightly Disagree","2022-04-11T06:38:16.462Z","2022-04-11T06:38:16.462Z",0
"6253ccd87f3735562b68df09","I admire people who keep their virginity until marriage.","Disagree","2022-04-11T06:38:16.464Z","2022-04-11T06:38:16.464Z",0
"6253ccd87f3735562b68df0b","It makes me happy when people are recognized on their merits."," Slightly Agree","2022-04-11T06:38:16.466Z","2022-04-11T06:38:16.466Z",0
"6253ccd87f3735562b68df0d","I believe that everyone should be given the same quantity of resources in life.","Neutral","2022-04-11T06:38:16.467Z","2022-04-11T06:38:16.467Z",0